WARN: Client connection error: Connection reset
ETR at step 27 = 68.0
ETR at step 28 = 68.0
ETR at step 29 = 68.0
ETR at step 30 = 68.0
ETR at step 31 = 68.0
ETR at step 32 = 68.99999999999999
ETR at step 33 = 69.0
ETR at step 34 = 69.0
ETR at step 35 = 68.99999999999999
ETR at step 36 = 69.0
ETR at step 37 = 71.0
ETR at step 38 = 74.0
ETR at step 39 = 75.0
ETR at step 40 = 75.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 9.000000000000002
ETR at step 3 = 11.999999999999996
ETR at step 4 = 13.000000000000004
ETR at step 5 = 13.000000000000004
ETR at step 6 = 12.999999999999996
ETR at step 7 = 14.000000000000007
ETR at step 8 = 14.0
ETR at step 9 = 15.000000000000007
ETR at step 10 = 16.000000000000004
ETR at step 11 = 16.0
ETR at step 12 = 15.999999999999996
ETR at step 13 = 16.999999999999996
ETR at step 14 = 17.999999999999993
ETR at step 15 = 18.0
ETR at step 16 = 17.999999999999996
ETR at step 17 = 18.000000000000007
ETR at step 18 = 18.0
ETR at step 19 = 18.0
ETR at step 20 = 17.999999999999993
ETR at step 21 = 18.999999999999996
ETR at step 22 = 19.0
ETR at step 23 = 18.999999999999996
ETR at step 24 = 19.000000000000007
ETR at step 25 = 19.0
ETR at step 26 = 18.999999999999993
ETR at step 27 = 19.0
ETR at step 28 = 19.0
ETR at step 29 = 19.0
ETR at step 30 = 19.0
ETR at step 31 = 19.999999999999996
ETR at step 32 = 19.999999999999996
ETR at step 33 = 20.0
ETR at step 34 = 20.0
ETR at step 35 = 20.000000000000004
ETR at step 36 = 20.0
ETR at step 37 = 20.000000000000004
ETR at step 38 = 21.000000000000004
ETR at step 39 = 21.000000000000004
ETR at step 40 = 21.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.9999999999999938
ETR at step 2 = 4.000000000000003
ETR at step 3 = 7.999999999999998
ETR at step 4 = 14.000000000000004
ETR at step 5 = 17.000000000000007
ETR at step 6 = 17.999999999999993
ETR at step 7 = 18.000000000000004
ETR at step 8 = 18.000000000000007
ETR at step 9 = 18.000000000000004
ETR at step 10 = 18.00000000000001
ETR at step 11 = 17.999999999999996
ETR at step 12 = 17.999999999999993
ETR at step 13 = 19.999999999999993
ETR at step 14 = 21.999999999999986
ETR at step 15 = 23.999999999999993
ETR at step 16 = 28.0
ETR at step 17 = 32.0
ETR at step 18 = 34.999999999999986
ETR at step 19 = 39.0
ETR at step 20 = 39.99999999999999
ETR at step 21 = 40.0
ETR at step 22 = 40.00000000000001
ETR at step 23 = 40.0
ETR at step 24 = 40.0
ETR at step 25 = 40.0
ETR at step 26 = 39.999999999999986
ETR at step 27 = 40.0
ETR at step 28 = 39.99999999999999
ETR at step 29 = 40.0
ETR at step 30 = 41.0
ETR at step 31 = 41.0
ETR at step 32 = 40.99999999999999
ETR at step 33 = 41.0
ETR at step 34 = 41.00000000000001
ETR at step 35 = 41.99999999999998
ETR at step 36 = 41.999999999999986
ETR at step 37 = 41.999999999999986
ETR at step 38 = 42.99999999999999
ETR at step 39 = 42.99999999999999
ETR at step 40 = 43.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 5.000000000000003
ETR at step 3 = 7.999999999999997
ETR at step 4 = 11.000000000000002
ETR at step 5 = 14.000000000000009
ETR at step 6 = 16.999999999999996
ETR at step 7 = 22.000000000000007
ETR at step 8 = 25.999999999999996
ETR at step 9 = 27.000000000000007
ETR at step 10 = 27.0
ETR at step 11 = 27.0
ETR at step 12 = 26.99999999999999
ETR at step 13 = 27.000000000000014
ETR at step 14 = 28.0
ETR at step 15 = 28.999999999999993
ETR at step 16 = 29.0
ETR at step 17 = 29.0
ETR at step 18 = 28.999999999999996
ETR at step 19 = 28.999999999999996
ETR at step 20 = 29.000000000000007
ETR at step 21 = 29.000000000000014
ETR at step 22 = 29.0
ETR at step 23 = 31.00000000000002
ETR at step 24 = 33.00000000000001
ETR at step 25 = 35.0
ETR at step 26 = 36.000000000000014
ETR at step 27 = 36.0
ETR at step 28 = 36.000000000000014
ETR at step 29 = 36.0
ETR at step 30 = 35.99999999999999
ETR at step 31 = 34.99999999999999
ETR at step 32 = 34.99999999999999
ETR at step 33 = 35.0
ETR at step 34 = 36.0
ETR at step 35 = 35.99999999999999
ETR at step 36 = 35.0
ETR at step 37 = 34.99999999999999
ETR at step 38 = 35.0
ETR at step 39 = 34.99999999999999
ETR at step 40 = 34.99999999999999
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.9999999999999938
ETR at step 2 = 5.000000000000003
ETR at step 3 = 8.999999999999998
ETR at step 4 = 15.000000000000005
ETR at step 5 = 20.000000000000007
ETR at step 6 = 23.999999999999993
ETR at step 7 = 26.0
ETR at step 8 = 29.000000000000004
ETR at step 9 = 33.00000000000001
ETR at step 10 = 38.0
ETR at step 11 = 41.99999999999999
ETR at step 12 = 47.0
ETR at step 13 = 53.0
ETR at step 14 = 57.99999999999999
ETR at step 15 = 61.99999999999999
ETR at step 16 = 66.00000000000001
ETR at step 17 = 71.0
ETR at step 18 = 75.0
ETR at step 19 = 78.00000000000001
ETR at step 20 = 82.0
ETR at step 21 = 86.99999999999997
ETR at step 22 = 91.0
ETR at step 23 = 96.0
ETR at step 24 = 101.00000000000001
ETR at step 25 = 105.0
ETR at step 26 = 109.0
ETR at step 27 = 114.0
ETR at step 28 = 118.0
ETR at step 29 = 120.00000000000003
ETR at step 30 = 124.0
ETR at step 31 = 127.0
ETR at step 32 = 129.99999999999994
ETR at step 33 = 132.0
ETR at step 34 = 131.99999999999997
ETR at step 35 = 131.99999999999997
ETR at step 36 = 132.99999999999997
ETR at step 37 = 133.0
ETR at step 38 = 133.0
ETR at step 39 = 133.0
ETR at step 40 = 133.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 6.0000000000000036
ETR at step 3 = 11.999999999999996
ETR at step 4 = 17.00000000000001
ETR at step 5 = 21.00000000000001
ETR at step 6 = 24.99999999999999
ETR at step 7 = 29.999999999999993
ETR at step 8 = 35.0
ETR at step 9 = 39.00000000000001
ETR at step 10 = 42.0
ETR at step 11 = 44.00000000000001
ETR at step 12 = 48.0
ETR at step 13 = 51.0
ETR at step 14 = 50.99999999999999
ETR at step 15 = 52.0
ETR at step 16 = 51.99999999999999
